entryAge,policyTerm,rate
1,16,68.4
1,17,64.3
1,18,60.6
1,19,57.4
1,20,55
2,15,73.4
2,16,68.6
2,17,64.4
2,18,60.9
2,19,58
3,14,79.1
3,15,73.6
3,16,68.7
3,17,64.8
3,18,61.5
4,13,85.9
4,14,79.4
4,15,73.8
4,16,68.95
4,17,65.4
5,12,93.9
5,13,86.3
5,14,79.6
5,15,74.1
5,16,69.9
6,11,103.7
6,12,94.3
6,13,86.5
6,14,80.5
6,15,75.2
7,11,104.3
7,12,94.6
7,13,87.3
7,14,81.4
8,11,104.5
8,12,95.3
8,13,88.8
9,11,105.2
9,12,97.4
10,11,108.4
11,11,111.7
12,11,112
13,11,112.3
14,11,112.6
15,11,112.9
